movie_id,user_id,rating
tttttttttttttttttttttttttttt11684368,ur126738226,6
tttttttttttttttttttttttttttttt11684368,ur53609890,2
tttttttttttttttttttttttttttttttt11684368,ur7486506,8
tttttttttttttttttttttttttttttttttt11684368,ur2068387,1
tttttttttttttttttttttttttttttttttttt11684368,ur100300938,4
tttttttttttttttttttttttttttttttttttttt11684368,ur46915230,1
tttttttttttttttttttttttttttttttttttttttt11684368,ur70546994,1
tttttttttttttttttttttttttttttttttttttttttt11684368,ur76725975,2
tttttttttttttttttttttttttttttttttttttttttttt11684368,ur109262392,8
tttttttttttttttttttttttttttttttttttttttttttttt11684368,ur48720066,1
tttttttttttttttttttttttttttttttttttttttttttttttt11684368,ur5965598,1
tttttttttttttttttttttttttttttttttttttttttttttttttt11684368,ur118979063,1
tt3012160,ur0033913,9
tttt3012160,ur6981752,7
tttttt3012160,ur1931604,9
tttttttt3012160,ur50296294,9
tttttttttt3012160,ur2655139,8
tttttttttttt3012160,ur11701403,8
tttttttttttttt3012160,ur33279808,6
tttttttttttttttt3012160,ur99455140,6
tttttttttttttttttt3012160,ur10028412,8
tttttttttttttttttttt3012160,ur49742563,7
tttttttttttttttttttttt3012160,ur66306211,8
tttttttttttttttttttttttt3012160,ur36738852,10
tttttttttttttttttttttttttt3012160,ur125663906,9
tttttttttttttttttttttttttttt3012160,ur62118896,2
tttttttttttttttttttttttttttttt3012160,ur12701951,5
tttttttttttttttttttttttttttttttt3012160,ur31342327,10
tttttttttttttttttttttttttttttttttt3012160,ur62833398,9
tttttttttttttttttttttttttttttttttttt3012160,ur56064216,2
tttttttttttttttttttttttttttttttttttttt3012160,ur28668087,7
tttttttttttttttttttttttttttttttttttttttt3012160,ur119035553,10
tttttttttttttttttttttttttttttttttttttttttt3012160,ur41725267,10
tttttttttttttttttttttttttttttttttttttttttttt3012160,ur3935590,9
tttttttttttttttttttttttttttttttttttttttttttttt3012160,ur19236677,8
tttttttttttttttttttttttttttttttttttttttttttttttt3012160,ur32942684,4
tttttttttttttttttttttttttttttttttttttttttttttttttt3012160,ur33389628,10
tt0130121,ur2467618,2
tttt0130121,ur2898520,6
tttttt0130121,ur4248714,4
tttttttt0130121,ur4445210,7
tttttttttt0130121,ur16161013,6
tttttttttttt0130121,ur2171244,7
tttttttttttttt0130121,ur2079400,2
tttttttttttttttt0130121,ur2093818,6
tttttttttttttttttt0130121,ur60028700,2
tttttttttttttttttttt0130121,ur4409266,7
tttttttttttttttttttttt0130121,ur3280905,10
tttttttttttttttttttttttt0130121,ur2444068,7
tttttttttttttttttttttttttt0130121,ur84924605,7
tttttttttttttttttttttttttttt0130121,ur0562732,5
tttttttttttttttttttttttttttttt0130121,ur0543054,7
tttttttttttttttttttttttttttttttt0130121,ur7850750,1
tttttttttttttttttttttttttttttttttt0130121,ur6663090,1
tttttttttttttttttttttttttttttttttttt0130121,ur21404273,6
tttttttttttttttttttttttttttttttttttttt0130121,ur3174947,7
tttttttttttttttttttttttttttttttttttttttt0130121,ur0355122,5
tt1792131,ur2326544,7
tttt1792131,ur82659907,1
tttttt1792131,ur3013458,5
tttttttt1792131,ur26955347,5
tttttttttt1792131,ur3026611,8
tttttttttttt1792131,ur136082362,1
tttttttttttttt1792131,ur6316165,1
tttttttttttttttt1792131,ur86616474,8
tttttttttttttttttt1792131,ur100011298,10
tttttttttttttttttttt1792131,ur72958515,2
tttttttttttttttttttttt1792131,ur135851235,1
tttttttttttttttttttttttt1792131,ur1692781,3
tttttttttttttttttttttttttt1792131,ur29116525,1
tttttttttttttttttttttttttttt1792131,ur32122022,10
tttttttttttttttttttttttttttttt1792131,ur34097694,1
tttttttttttttttttttttttttttttttt1792131,ur36894967,9
tttttttttttttttttttttttttttttttttt1792131,ur37129081,4
tttttttttttttttttttttttttttttttttttt1792131,ur48795922,1
tttttttttttttttttttttttttttttttttttttt1792131,ur7816287,1
tt0029747,ur2467618,8
tttt0029747,ur20552756,10
tttttt0029747,ur2483625,8
tttttttt0029747,ur0278527,10
tttttttttt0029747,ur4569900,8
tttttttttttt0029747,ur0968789,10
tttttttttttttt0029747,ur2707735,8
tttttttttttttttt0029747,ur4888011,10
tttttttttttttttttt0029747,ur4248714,10
tttttttttttttttttttt0029747,ur4445210,4
tttttttttttttttttttttt0029747,ur0819382,7
tttttttttttttttttttttttt0029747,ur0945066,5
tttttttttttttttttttttttttt0029747,ur12596887,10
tttttttttttttttttttttttttttt0029747,ur11228318,9
tttttttttttttttttttttttttttttt0029747,ur16161013,9
tttttttttttttttttttttttttttttttt0029747,ur1048771,6
tttttttttttttttttttttttttttttttttt0029747,ur1416505,7
tttttttttttttttttttttttttttttttttttt0029747,ur3280905,10
tttttttttttttttttttttttttttttttttttttt0029747,ur1888886,5
tttttttttttttttttttttttttttttttttttttttt0029747,ur1355003,6
tt0110027,ur2898520,4
tttt0110027,ur2488512,4
tttttt0110027,ur22668817,2
tttttttt0110027,ur56005872,4
tttttttttt0110027,ur33907744,4
tttttttttttt0110027,ur14520497,1
tttttttttttttt0110027,ur29565770,4
tttttttttttttttt0110027,ur6302267,5
tttttttttttttttttt0110027,ur2446936,2
tttttttttttttttttttt0110027,ur0002746,7
tttttttttttttttttttttt0110027,ur3824745,4
tttttttttttttttttttttttt0110027,ur10734326,4
tttttttttttttttttttttttttt0110027,ur15140057,1
tttttttttttttttttttttttttttt0110027,ur2415124,4
tttttttttttttttttttttttttttttt0110027,ur4640865,1
tttttttttttttttttttttttttttttttt0110027,ur0385776,10
tttttttttttttttttttttttttttttttttt0110027,ur17443102,3
tttttttttttttttttttttttttttttttttttt0110027,ur13772764,8
tttttttttttttttttttttttttttttttttttttt0110027,ur20867435,5
tttttttttttttttttttttttttttttttttttttttt0110027,ur2526572,2
tt3236120,ur2898520,8
tttt3236120,ur15311310,7
tttttt3236120,ur2542703,8
tttttttt3236120,ur9927546,9
tttttttttt3236120,ur3967726,6
tttttttttttt3236120,ur44112735,7
tttttttttttttt3236120,ur0442119,8
tttttttttttttttt3236120,ur28260582,3
tttttttttttttttttt3236120,ur59627333,7
tttttttttttttttttttt3236120,ur35944897,6
tttttttttttttttttttttt3236120,ur27077890,5
tttttttttttttttttttttttt3236120,ur0509769,8
tttttttttttttttttttttttttt3236120,ur20243955,6
tttttttttttttttttttttttttttt3236120,ur60255714,7
tttttttttttttttttttttttttttttt3236120,ur0604321,7
tttttttttttttttttttttttttttttttt3236120,ur2086380,7
tttttttttttttttttttttttttttttttttt3236120,ur53403649,6
tttttttttttttttttttttttttttttttttttt3236120,ur17590531,3
tttttttttttttttttttttttttttttttttttttt3236120,ur56662111,3
tttttttttttttttttttttttttttttttttttttttt3236120,ur88368029,6
tttttttttttttttttttttttttttttttttttttttttt3236120,ur41633125,9
tttttttttttttttttttttttttttttttttttttttttttt3236120,ur14150913,9
tttttttttttttttttttttttttttttttttttttttttttttt3236120,ur39407161,9
tt0308379,ur2467618,7
