movie_id,genre
0120483,"Comedy, Crime, Drama"
0067411,"Drama, Western"
3066242,"Animation, Action, Adventure"
2505294,Drama
0055683,"Animation, Comedy, Family"
0071455,"Action, Drama, Thriller"
3155298,"Crime, Drama, Mystery"
6303866,Drama
3621796,"Animation, Action, Adventure"
0101115,Comedy
1620935,"Biography, Drama, Sport"
0865907,"Action, Adventure, Thriller"
0210616,"Drama, Music, Romance"
0396652,"Comedy, Drama, Family"
0114702,"Biography, Drama, Romance"
0266452,"Comedy, Crime, Drama"
0275491,"Crime, Drama"
0085980,Comedy
0107151,"Drama, Romance"
0093855,"Comedy, Horror, Thriller"
0044860,"Action, Drama, Sport"
0405676,"Drama, Thriller"
11874226,"Documentary, Music, Musical"
10199640,"Drama, War"
1137462,"Drama, Sci-Fi"
1223947,"Adventure, Fantasy"
6684714,"Action, Crime"
0362269,"Biography, Drama, Romance"
13483212,"Animation, Adventure, Fantasy"
10919240,"Action, Biography, Drama"
0450405,"Action, Adventure, Fantasy"
6967966,"Action, Adventure, Western"
4676574,Comedy
0098575,"Drama, Romance"
8336340,"Animation, Action, Adventure"
0113451,"Crime, Drama, Thriller"
8022676,"Drama, Mystery, Romance"
5206770,"Horror, Thriller"
9293466,"Crime, Thriller"
3547740,"Comedy, Drama, Music"
13192538,"Comedy, Romance"
0116493,"Comedy, Drama, Family"
5536610,"Comedy, Drama"
0486051,"Adventure, Drama, Horror"
0063787,Drama
0055830,"Horror, Mystery"
0080646,Horror
0120570,"Action, Drama, History"
0054188,"Comedy, Family, Romance"
0063612,Comedy
6495756,"Crime, Drama, Mystery"
0108473,"Drama, Horror, Mystery"
4196848,"Comedy, Drama"
10734864,Horror
1226236,"Drama, Romance"
0244316,"Drama, Romance"
3387266,"Biography, Drama, History"
7957694,"Comedy, Romance"
9307990,"Crime, Drama, Mystery"
1839654,"Comedy, Drama"
2375605,"Documentary, Biography, Crime"
8694374,"Comedy, Drama, Family"
8337662,"Crime, Mystery, Thriller"
0103859,"Comedy, Drama, Romance"
0427312,"Documentary, Biography"
12432936,"Animation, Adventure, Comedy"
0063285,"Biography, Drama, Horror"
0080979,"Drama, History, War"
0098900,"Drama, Adventure, Family"
8855592,"Crime, Drama, Thriller"
0086973,"Comedy, Romance"
0765425,"Game-Show, Reality-TV"
11401354,"Comedy, Drama, Family"
6128254,"Comedy, Drama, Mystery"
3507484,Drama
0043137,"Action, Drama, Western"
1568322,"Action, Adventure, Crime"
0144528,"Comedy, Romance, Sci-Fi"
0077539,"Drama, Romance"
0063908,"Comedy, Music"
0358856,Comedy
0165854,"Crime, Drama, Mystery"
0073965,"Action, Adventure, Drama"
0047034,"Horror, Sci-Fi"
